Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
Quinta: Fighting Proud,1969,Quinta: Non Ammazzare,Leon Klimovsky,Steven Todd,"German Cobos, Sarah Ross, Alfonso Rojas, Joe Karmel, José Marco, Roberto Camardiel, Raf Baldassare",Piero Umiliani,A rare and obscure Eurowestern directed by Leon Klimovsky that saw limited theatrical release during the late-60s genre glut. The narrative centers on a rugged frontiersman who relies on cunning and marksmanship to survive in a violent border territory dominated by opportunistic outlaws.
Quintana: Dead or Alive,1969,Quintana,Vincenzo Musolino (as Glenn Vincent Davis),George Stevenson,"Femi Benussi, Pedro Sanchez, John Levery, Marisa Traversi, Celso Faria, Spartaco Conversi",Felice Di Stefano,"George Stevenson stars as Quintana, a masked, poncho-clad people's hero fighting for peasant rights in colonial Mexico. When his peaceful companion is framed for murder by a tyrannical provincial governor pursuing the man's beautiful fiancée (Femi Benussi), Quintana mounts a daring rescue mission."
"Raise Your Hands, Dead Man... You're Under Arrest",1971,"Su le Mani, Cadavere! Sei agli Arresti",Leon Klimovsky,Peter Lee Lawrence,"Espartaco Santoni, Franco Agostini, Helga Line, Aurora De Alba, Mary Zan",Alessandro Alessandroni,"A Texas Ranger known as Sando Kid (Peter Lee Lawrence) goes undercover as an eccentric traveling perfume salesman to investigate land-grabbing baron Mancino. Discovering the tycoon plans to evict local ranchers before the railroad arrives, Sando and an ally set a trap that culminates in a massive town gun battle."
Ramon the Mexican,1966,Ramon il Messicano,Maurizio Pradeaux,Robert Hundar,"Wilma Lindamar, Jean Louis, José Torres, Thomas Clay, Renato Trottolo, Aldo Berti",Felice Di Stefano,"A grim, violent revenge western. Ruthless outlaw leader Ramon (Jean Louis) raids the Baxter ranch, killing the owner and abducting his sister. When the woman's fiancé (Robert Hundar) is severely wounded trying to stop them, he recovers and infiltrates the bandit stronghold disguised as a priest during an open-air wedding ceremony to execute his revenge."
Rampage at Apache Wells,1965,Uccidere a Apache Wells; Der Ölprinz,Harald Philipp,Stewart Granger,"Pierre Brice, Walter Barnes, Harald Leipnitz, Macha Meril, Antje Weisgerber, Mario Girotti (Terence Hill)",Martin Böttcher,Part of the popular German Karl May franchise. Frontier scout Old Surehand (Stewart Granger) and Apache chief Winnetou (Pierre Brice) intervene when unscrupulous white speculators attempt to trick local tribes into an all-out war in order to seize valuable petroleum-rich lands.
Rattler Kid,1968,L'Uomo Venuto per Uccidere,Leon Klimovsky,Richard Wyler,"Brad Harris, William Spolt, Jesus Puente, Femi Benussi, Aurora De Alba, Frank Braña",Francesco De Masi,"Falsely accused of robbery and murder during a court-martial, Lieutenant Tony Garnett (Richard Wyler) escapes custody and tracks down the real culprits. Adopting the outlaw persona of 'The Rattler Kid,' he eventually joins forces with a determined sheriff (Brad Harris) to defend a frontier town during a bank raid."
Reach You Bastard!,1971,The Django Story; Down with Your Hands... You Scum!; Giù le Mani... Carogna!,Demofilo Fidani (as Lucky Dickerson),Hunt Powers,"Gordon Mitchell, Dean Stratford, Dennis Colt, Lucky McMurray, Jerry Ross",Lallo Gori,"A notorious clip-show feature directed by Demofilo Fidani. In a border saloon, Wild Bill Hickok (Dean Stratford) meets legendary bounty killer Django (Hunt Powers), who recounts his most violent exploits, prompting a series of flashbacks repurposed from earlier Fidani westerns."
Rebels of Arizona,1969,Los Rebeldes de Arizona,José Maria Zabalza,Charles Quiney,"Claudia Gravy, Michael Rivers, Luis Induñi, Dianik Zurakowska, José Truchado",Ana Satrova,"A traditional Spanish-filmed frontier drama following a hardy community of Arizona pioneers. The settlers spend the narrative defending their isolated ranches and homesteads from repeated, coordinated raids launched by Mexican bandidos and hostile native tribes."
"Red Blood, Yellow Gold",1968,Professionals for a Massacre; Professionisti per un Massacro; Los Profesionales de la Muerte,Nando Cicero,George Hilton,"Edd Byrnes, George Martin, Milo Quesada, Monica Randall, Gerard Herter, José Bodalo",Carlos Pes,"Three loyal rogue comrades—an ex-priest explosives expert, a sharp-shooting bank robber, and a Mexican horse thief—are dispatched into the desert to recover a stolen Confederate gold payroll and a rapid-fire machine gun hijacked by an unscrupulous mercenary officer (Gerard Herter)."
Red Coat,1975,Royal Mounted Police; Giubbe Rosse,Joe D'Amato (Aristide Massaccesi),Fabio Testi,"Lionel Stander, Robert Hundar, Renato Cestiè, Guido Mannari, Lynn Frederick",Carlo Rustichelli,"Inspired by Jack London's adventure stories and the success of Call of the Wild. Fabio Testi plays a courageous Canadian Mountie who, accompanied by his faithful dog, rescues an orphaned youth in the wilderness and protects him from harsh weather, predatory wolves, and a band of murderous renegades."
Red Hot Zorro,1972,Les Aventures Galantes de Zorro,William Russell,Jean-Michel Dhermay,"Alice Arno, Evelyne Scott, Rose Kiekens, Ghislaine Kay, Evelyne Gatou",Gilbert Gardot,"A lighthearted French-Belgian adult western comedy. Jean-Michel Dhermay portrays an amorous incarnation of Zorro who uses his swordsmanship, charm, and athletic wit to outmaneuver an authoritarian California governor while engaging in comedic romantic exploits with local women."
Red Sun,1971,Sole Rosso; Soleil Rouge,Terence Young,Charles Bronson,"Ursula Andress, Toshiro Mifune, Alain Delon, Lee Burton, Capucine, Anthony Dawson",Maurice Jarre,"A landmark East-meets-West international co-production. When a treacherous outlaw (Alain Delon) robs a train and steals a ceremonial gold katana intended for the American President, a betrayed gang member (Charles Bronson) and an honorable samurai warrior (Toshiro Mifune) form an unlikely alliance to track the bandit across the frontier."
Relentless Four,1966,I Quattro Inesorabili,Primo Zeglio,Adam West,"Robert Hundar, Dina Loy, Luis Induñi, José Jaspe, Raf Baldassare, John Bartha, Cris Huerta",Marcello Giombini,"TV's Batman, Adam West, stars as Marshall Garrett, an honest lawman who intervenes to stop a corrupt bounty hunter (Robert Hundar) from collecting an unlawful reward. Framed for murder in retaliation, Garrett must wage an all-out range war to clear his name and expose the true conspirators."
Requiem for a Bounty Hunter,1970,Requiem per un Bounty Hunter,Mel Welles (as Mark Welles),Ray O'Connor,"Lawrence Bien, Thomas Rudy, Michael Forest, Steven Tedd, Giovanni Petti, Anna Bacchi",Daniele Patucchi,"When an outlaw gang raids his farm and murders his family on orders from an extortionist town boss, homesteader Tom (Ray O'Connor) hires an enigmatic, flute-playing bounty hunter named Sabata to help him track down the perpetrators for a cold-blooded reckoning."
Return of Clint the Stranger,1971,Ritorno di Clint il Solitario,George Martin,George Martin,"Klaus Kinski, Marina Malfatti, Augusto Pesarini, Susanna Atckinson, Daniel Martin, Fernando Sancho",Ennio Morricone,"George Martin directs and stars, reprising his role as gunslinger Clint Harrison. Clint attempts to settle down peacefully with his family, but finds his quiet life shattered when an aggressive gang of cattle-rustling mercenaries (featuring Klaus Kinski) terrorizes the valley, forcing him to draw his guns again."
Return of Halleluja,1972,"The West Is Very Close, Amigo; Il West Ti Fa Stretto, Amico... È Arrivato Alleluia",Giuliano Carmineo (as Anthony Ascott),George Hilton,"Lincoln Tate, Agata Flori, Raymond Bussieres, Riccardo Garrone, Roberto Camardiel, Nello Pazzafini",Stelvio Cipriani,"A fast-paced comedy-heist sequel to Heads You Die... Tails I Kill You. George Hilton returns as the dapper rogue Hallelujah, partnering with an eccentric strongman and an agile female thief to locate and steal a valuable Aztec religious idol amidst an endless sequence of double-crosses."
Return of Ringo,1966,Ballad of Death Valley; Il Ritorno di Ringo,Duccio Tessari,Giuliano Gemma,"Fernando Sancho, Nieves Navarro, Hally Hammond, George Martin, Antonio Casas",Ennio Morricone,"An acclaimed dramatic sequel to A Pistol for Ringo loosely adapting the Odyssey myth. Giuliano Gemma plays a traumatized Civil War soldier who returns home in disguise to find his community seized, his father slain, and his wife held captive by a vicious Mexican bandit family led by Fernando Sancho."
Return of Sabata,1972,"È Tornato Sabata, Hai Chiuso un'Altra Volta",Gianfranco Parolini (as Frank Kramer),Lee Van Cleef,"Reiner Schöne, Annabella Incontrera, Pedro Sanchez, Mario Brega, Giampiero Albertini, Vasili Karis",Marcello Giombini,"Lee Van Cleef reprises his iconic role as the gadget-wielding bounty hunter Sabata. Working as a traveling circus marksman, Sabata arrives in Hobsonville and uncovers an elaborate municipal tax swindle orchestrated by an Irish town boss who is laundering counterfeit currency through local businesses."
Return of Shanghai Joe,1974,Il Ritorno di Shanghai Joe; Zwei durch Dick und Dünn,Bito Albertini,Chen Lee,"Klaus Kinski, Tommy Polgar, Karin Field, Fausto Ulisse, Primiano Muratori",Maurio Ghiari,"A comedic sequel to Fighting Fists of Shanghai Joe. Wandering martial artist Shanghai Joe (Chen Lee) teams up with a traveling medicine-show quack to protect a frontier town from a corrupt, cigar-chomping town boss played with eccentric relish by Klaus Kinski."
Revenge for Revenge,1968,Vendetta per Vendetta,Mario Colucci (as Ray Calloway),John Ireland,"John Hamilton, Loredana Nusciak, Lemmy Carson, Giuseppe Lavricella, Conny Caracciolo",Angelo Francesco Lavagnino,"A bitter, cynical frontier drama. When an army major (John Ireland) discovers his unfaithful wife has given the location of his hidden gold cache to her outlaw lover, he kills her and embarks on a desert hunt to recover the treasure, resulting in a mutual shootout where neither man survives."
Reverend Colt,1970,Reverendo Colt,Leon Klimovsky,Guy Madison,"Richard Harrison, Thomas Moore, Maria Martin, German Cobos, Pedro Sanchez, Alfonso Rojas",Gianni Ferrio (as Lady Park),"A peaceful former gunfighter turned preacher (Guy Madison) arrives in Tucson to open a church, only to be falsely accused of an armed bank raid pulled by Mexican outlaws. An open-minded sheriff (Richard Harrison) grants him temporary release to track down the true gang and clear his name."
"The Reward's Yours, the Man's Mine",1970,"La Taglia È Tua, l'Uomo l'Ammazzo Io",Edoardo Mulargia (as Edward G. Muller),Robert Woods,"Aldo Berti, Mario Brega, Rosalba Neri, Fabrizio Gianni, Maurizio Bonuglia",Alessandro Alessandroni,"Robert Woods plays a hardened bounty hunter hired to capture an elusive fugitive alive so the man can stand trial. When unexpected violence forces him to shoot the outlaw instead, the story culminates in a bitterly ironic climax regarding who collects the reward."
"Rick and John, Conquerors of the West",1967,Rick and John in the Conquest of the West; Ric e Gian alla Conquista del West,Osvaldo Civirani,Craig Hill,"Riccardo Miniggio, Gianfabio Bosco, Francesco Mulè, Barbara Carroll, Tiberio Murgia",Piero Umiliani,"A military comedy following two bumbling Union army conscripts who are entrusted with transporting a wagon equipped with solid gold wheels to pay for cavalry horses. Oblivious to the wheels' true value, the pair trade them away to local natives, triggering an absurd frontier pursuit."
Ride and Kill,1964,Sheriff Brandy; Brandy; Cavalco e Uccidi,José Luis Borau / Mario Caiano (as J. L. Boraw),Alex Nicol,"Robert Hundar, Lawrence Palmer, Pauline Baards, John MacDouglas, Luis Induñi, Antonio Casas",Riz Ortolani,"A syndicate of corrupt town officials hires a lethal assassin (Robert Hundar) to murder the local marshal and replaces him with the town drunk, Brandy (Alex Nicol), expecting an easily manipulated puppet. Reformed by his new badge and the support of a barmaid, Brandy takes a courageous stand."
Ringo: Face of Revenge,1966,Ringo Volto della Vendetta,Mario Caiano,Anthony Steffen,"Frank Wolff, Eduardo Fajardo, Armando Calvo, Alejandra Nilo, Alfonso Goda",Francesco De Masi,"Two adventurers (Anthony Steffen and Frank Wolff) rescue a wounded Mexican outlaw and discover half of a secret treasure map tattooed onto his back. Partnering to find the other half tattooed onto a local sheriff, the gunslingers become embroiled in a violent quest for hidden frontier gold."
Ringo and Gringo Against All,1966,Rebels on the Loose; Ringo e Gringo Contro Tutti,Bruno Corbucci,Lando Buzzanca,"Raimondo Vianello, Maria Martinez, Monica Randall, Alfonso Rojas, Miguel Del Castillo",Gianni Ferrio / Carlo Rustichelli,"A Civil War farce starring Italian comedy team Lando Buzzanca and Raimondo Vianello as two dimwitted Confederate soldiers stationed at an isolated frontier outpost who remain completely unaware that the war ended eight years earlier, continuing their sabotage operations."
Ringo and His Golden Pistol,1966,Johnny Oro,Sergio Corbucci,Mark Damon,"Valeria Fabrizi, Franco De Rosa, Andrea Aureli, John Bartha, Ettore Manni, Ken Wood",Carlo Savina,"Mark Damon stars as Johnny Oro (retitled Ringo in international markets), an extravagant bounty hunter who uses customized solid-gold pistols and dynamite. When he arrests an outlaw chieftain's brother, the bandit gang lays siege to the town of Coldstone, forcing Oro into an explosive defense."
"Ringo, It's Massacre Time",1970,"Wanted Ringo; Reward for Ringo; Ringo, Tempo di Massacro",Mario Pinzauti,Mickey Hargitay,"Omero Gargano, Peter Martell, Lucye Bonerz, Jean Louis, Anna Cerreto",José Espieta / Felice Di Stefano,"Bodybuilder Mickey Hargitay stars as a determined frontier marksman who arrives in a corrupt territory to track down an elusive bandit ring terrorizing isolated ranches and mining transports, taking justice into his own hands when local authorities prove helpless."
"Ringo, the Lone Rider",1967,"Two Brothers, One Death; Ringo il Cavaliere Solitario",Rafael Romero Marchent,Peter Martell,"Piero Lulli, Dianik Zurakowska, Miguel Del Castillo, Alfonso Rojas, Jesus Puente, Frank Braña",Manuel Parada / Francesco De Masi,Citizens of Springfield hire a formidable wandering gunfighter named Ringo (Peter Martell) to protect their community from an oppressive gang of outlaws commanded by Bill Anderson (Piero Lulli). Ringo uses sniper tactics and quick-draw ambushes to eradicate the threat.
Ringo's Big Night,1966,Grande Notte di Ringo; La Notte del Desperado,Mario Maffei,William Berger,"Adriana Ambesi, Eduardo Fajardo, Walter Maestosi, Guido De Salvi, Tom Felleghy, José Bodalo",Carlo Rustichelli,"Jack Balman (William Berger) is framed by a town mayor and his corrupt associates for a $200,000 stagecoach robbery. Escaping custody, Balman infiltrates the corrupt network and systematically exposes the civic leaders who engineered the crime."
Rita of the West,1967,Little Rita nel Far West; Crazy Westerners,Ferdinando Baldi,Rita Pavone,"Terence Hill, Lucio Dalla, Nina Larker, Kirk Morris, Gordon Mitchell, Fernando Sancho",Robbe Poitevin,"A pop-musical western spoof starring Italian singing sensation Rita Pavone as a quick-drawing female champion of justice. When she falls for a deceptive outlaw named Black Star (Terence Hill) who intends to rob sacred native gold, she embarks on an absurd series of musical numbers and comedic duels."
Road to Fort Alamo,1966,Arizona Bill; La Strada per Fort Alamo; Camino de Fuerte Alamo,Mario Bava,Ken Clark,"Jany Clair, Michel Lemoine, Adreina Paul, Kirk Bert, Antonio Gradoli, Dean Ardow",Piero Umiliani,"Directed by Italian horror maestro Mario Bava. An outlaw named Arizona Bill (Ken Clark) leads a bank robbery disguised in Union uniforms, but redeems himself after being abandoned in the desert when he rescues a federal wagon train heading for Fort Alamo from hostile raiders."
Rojo,1966,El Rojo,Leopoldo Savona (as Leo Coleman),Richard Harrison,"Peter Carter, Nieves Navarro, Mirko Ellis, Annie Gorassini, José Jaspe, Raf Baldassare",Benedetto Ghiglia,"A mysterious, black-clad gunman calling himself El Rojo (Richard Harrison) arrives in a mining town to methodically assassinate four prominent local leaders. In the final confrontation, Rojo reveals that the corrupt men murdered his entire family years ago to steal their lucrative gold claim."
Roy Colt and Winchester Jack,1970,Colt e Winchester Jack,Mario Bava,Brett Halsey,"Charles Southwood, Marilu Tolo, Teodoro Corra, Lee Burton, Bruno Corazzari, Franco Pesce",Piero Umiliani,"Mario Bava directs an eccentric comedic western following two lifelong outlaw companions, Roy and Jack (Brett Halsey and Charles Southwood), whose partnership dissolves when Roy decides to become the sheriff of Carson City. The former friends must reunite to stop a deranged preacher searching for hidden gold."
"Run Man, Run",1967,"Big Gundown 2; Corri, Uomo, Corri",Sergio Sollima,Tomás Milian,"Donald O'Brien, John Ireland, Rick Boyd, Linda Veras, Chelo Alonso, José Torres, Nello Pazzafini",Ennio Morricone / Bruno Nicolai,"A direct sequel to The Big Gundown. Tomás Milian reprises his iconic role as the agile, knife-throwing Mexican peasant Cuchillo. Released from prison, Cuchillo must stay one step ahead of French mercenaries, federal agents, and American opportunists to locate a fortune in revolutionary gold."
Ruthless Colt of the Gringo,1967,Gringo's Pitiless Colt; La Spietata Colt del Gringo,José Luis Madrid,Luigi Giuliano (as Jim Reed),"Carlo Fabrizi, Martha Dovan, Pat Greenhill, Luis Induñi, Charles Otter, Germana Monteverdi",Francesco De Masi,"Wrongfully imprisoned for the murder of a mine proprietor, innocent gunslinger Sol Lester (Jim Reed) is released and returns to Paso City seeking retribution. Allied with the murdered man's daughter, he takes on the ruthless town boss who framed him."
The Ruthless Four,1968,Sam Cooper's Gold; Every Man for Himself; Ognuno per Se,Giorgio Capitani,Van Heflin,"Gilbert Roland, Klaus Kinski, George Hilton, Sarah Ross, Rick Boyd, Sergio Doria",Carlo Rustichelli,"A tense, character-driven masterpiece of suspicion and greed. Aging prospector Sam Cooper (Van Heflin) discovers a massive gold deposit and recruits his estranged adopted son (George Hilton), an old associate (Gilbert Roland), and a sinister blond mercenary (Klaus Kinski) to transport the ore, with lethal paranoia destroying their alliance."
Sabata,1969,"Ehi, Amico... C'è Sabata, Hai Chiuso!; Hey, Friend, There Is Sabata... You've Closed",Gianfranco Parolini (as Frank Kramer),Lee Van Cleef,"William Berger, Pedro Sanchez, Franco Ressel, Robert Hundar, Linda Veras, Spean Convery, Ken Wood",Marcello Giombini,"The film that coined the iconic tag 'The man with gunsight eyes'. Lee Van Cleef stars as the calculating, black-clad bounty hunter Sabata, who foils a $100,000 bank heist in Daugherty. Allied with an agile acrobat and an eccentric banjo-carrying gunman (William Berger) who conceals a rifle inside his instrument, Sabata blackmails the corrupt town leaders who masterminded the robbery."
Sabata the Killer,1970,Viva Sabata!; Sabata Is Coming; Llega Sabata; Reza por Tu Alma... Y Muere,Tullio Demichelli,Peter Lee Lawrence,"Anthony Steffen, Eduardo Fajardo, Alfredo Mayo, Luis Induñi, Rossana Rovere, Alfonso Rojas",Marcello Giombini,"Young Peter (Peter Lee Lawrence) double-crosses an unscrupulous banker (Eduardo Fajardo) by stealing $300,000 in cash. He escapes with the assistance of two traveling rogues, Sabata and Mangusta (Anthony Steffen and Alfredo Mayo), who arrive in town driving a modern motor car. When professional killers hunt them down, the breezy comedy takes a violent, grotesque turn."
Saguaro,1968,Sapevano Solo Uccidere,Tanio Boccia (as Amerigo Anton),Kirk Morris,"Larry Ward, Alan Steel (Sergio Ciani), Gordon Mitchell, Kim Arden, Ana Castor",Angelo Francesco Lavagnino,"Peplum muscleman Kirk Morris stars as Jeff, an embittered Confederate veteran wandering through the southwest. When Mexican bandits ambush his party and murder his closest companion, Jeff assumes the identity of a territorial marshal and robs a local bank to finance his private vigilante army to eradicate the outlaws."
Sartana,1968,If You Meet Sartana... Pray for Your Death; Gunfighters Die Harder; Se Incontri Sartana Prega per la Tua Morte,Gianfranco Parolini (as Frank Kramer),Gianni Garko,"Klaus Kinski, Fernando Sancho, William Berger, Sydney Chaplin, Gianni Rizzo",Piero Piccioni,"Gianni Garko introduces the legendary archetype of Sartana, the immaculate, cloak-wearing 'Angel of Death'. After an army gold coach is ambushed by bandits and wiped out with a Gatling gun, Sartana manipulates the double-crossing conspirators—including a corrupt banker, a greedy widow, and rival bounty hunters (Klaus Kinski)—into destroying each other."
Sartana Does Not Forgive,1968,Sonora; Sartana Non Perdona,Alfonso Balcazar,George Martin,"Gilbert Roland, Jack Elam, Tony Norton, Hugo Blanco, Gerard Tichy, Diana Lorys, Rosalba Neri",Francesco De Masi,"A somber revenge western blending the Sartana name with a classic family tragedy. When a ruthless outlaw crew led by Kirchner (Gilbert Roland) tortures and murders a young homesteader and his wife, the victim's vengeful brother, Sartana (George Martin), tracks the gang across the desert to execute them one by one."
Sartana in the Valley of Death,1970,Ballad of Death Valley; Sartana nella Valle degli Avvoltoi,Roberto Mauri,William Berger,"Wayde Preston, Aldo Berti, Jolanda Modio, Alan Collins, Pamela Tudor, Carlo Giordana",Augusto Martelli,"William Berger stars as Lee Calloway (called Sartana in international prints), a mercenary hired to break three criminal brothers out of prison in exchange for half of their hidden gold cache. The brothers betray him after escaping, leaving him for dead in the desert until an enigmatic woman nurses him back to health."
Sartana Kills Them All,1970,Lo Irritarono... e Sartana Fece Piazza Pulita,Rafael Romero Marchent,Gianni Garko,"William Bogart, Maria Silva, Carlos R. Marchent, Luis Induñi, Raf Baldassare, Paco Sanz",Marcello Giombini,"An unofficial entry in the series starring Gianni Garko as Sartana. The vigilante arrives in a frontier outpost to investigate a heavily armed smuggling ring that has been raiding military depots and trafficking weapons to outlaws, utilizing cunning traps, ambushes, and trick weapons to clear out the syndicate."
Savage Gringo,1966,Gunman Called Nebraska; Ringo from Nebraska; Nebraska il Pistolero,Mario Bava / Antonio Romano,Ken Clark,"Piero Lulli, Yvonne Bastien, Alfonso Rojas, Paco Sanz, Renato Rossini, Frank Braña, Aldo Sambrell",Nino Oliviero,A wandering cowboy named Nebraska (Ken Clark) takes employment at a sprawling ranch owned by a tyrannical cattleman (Alfonso Rojas) who is widely hated throughout the valley. Nebraska finds himself caught in a deadly trap orchestrated by the rancher's unfaithful wife and her lover when the local sheriff is assassinated.
Savage Guns,1961,Tierra Brutal,Michael Carreras,Richard Basehart,"Paquita Rico, Don Taylor, Alex Nicol, Fernando Rey, Maria Granada, José Nieto, Victor Israel",Anton Garcia Abril,"Considered one of the earliest modern precursors to the Spaghetti Western boom, filmed in the deserts of Spain. A weary American gunfighter (Richard Basehart) attempts to renounce violence while living in Sonora, Mexico. When an arrogant land baron (Fernando Rey) slaughters his host's family, the gunslinger takes up his weapons to lead a bloody resistance."
Savage Pampas,1966,Pampas Salvaje,Hugo Fregonese,Robert Taylor,"Ty Hardin, Ron Randell, Rosenda Monteros, Marc Lawrence, Fela Roque, Angel Del Pozo",Waldo De Los Rios,"Set in the rugged Argentine pampas during the late 19th century. Robert Taylor stars as an army captain tasked with escorting a wagon train of unruly women across desolate terrain to a remote frontier garrison to prevent mutiny among the soldiers, while fending off attacks from renegade deserters and hostile native forces."
Scalps,1987,Sie Kämpft wie ein Mann,Bruno Mattei (as Werner Knox),Vassili Karis,"Mary Galan, Charlie Bravo, Beny Cardoso, Albert Farley",Luigi Ceccarelli,"One of the most graphic, brutal Eurowesterns ever made, directed by exploitation specialist Bruno Mattei. When an unhinged Confederate colonel (Albert Farley) orders the massacre of an entire Comanche village after the chief refuses to surrender his daughter, the surviving woman and an outcast tracker launch a savage, gory crusade of vengeance."
Secret of Captain O'Hara,1965,Segreto di Ringo,Arturo Ruiz Castillo,German Cobos,"Marta Padovan, Mariano Vidal Molina, Frank Braña, Charito Tijero, José Canalejas, Tomás Blanco",M. Moreno Buendia,"Captain Richard O'Hara (German Cobos) leads a cavalry detachment that rescues a woman from a native ambush. Escorting her to Fort San Antonio to meet her fiancé, O'Hara clashes with the garrison commander, a ruthless officer intent on inciting an all-out Indian war to clear land for speculators."
Seven Dollars on the Red,1968,Seven Dollars to Kill; Sette Dollari sul Rosso,Alberto Cardone (as Albert Cardiff),Anthony Steffen,"Elisa Montes, Fernando Sancho, Loredana Nusciak, Umberto Miali, J. Manuel Martin, Halina Zalenwi",Francesco De Masi,"Anthony Steffen stars as Johnny, an embittered frontiersman who spends fifteen years relentlessly tracking down El Chacal (Fernando Sancho), the sadistic bandit chieftain who murdered his wife and abducted his infant son. The search culminates in a massive, brutal street battle and an intense physical brawl inside a slaughterhouse."
Seven for Pancho Villa,1966,Los 7 de Pancho Villa,José M. Elorrieta,John Ericson,"Nuria Torray, Gustavo Rojo, Mara Cruz, Ricardo Palacios, James Philbrook, Pastor Serrador",Felix Sanchez / Manuel Sebares,"Following a disastrous military engagement, wounded revolutionary general Pancho Villa (Ricardo Palacios) is rescued and hidden by a loyal band of supporters. Joined by a sympathetic American adventurer (John Ericson), the small band conducts guerrilla raids against government forces to reignite the revolution."
Seven Guns for the MacGregors,1965,Sette Pistole per i MacGregor,Franco Giraldi (as Frank Garfield),Robert Woods,"Fernando Sancho, Agata Flori, Nazzareno Zamperla, Paolo Magalotti, Leo Anchóriz, Perla Cristal",Ennio Morricone,"A lively, highly successful western following the Scottish-American MacGregor clan living on a sprawling ranch. When a vicious Mexican outlaw gang commanded by Miguel (Fernando Sancho) steals their prized horse herd and savings, the seven brothers unite to infiltrate the bandit stronghold and retrieve their stolen property."
Seven Guns for Timothy,1966,Seven Magnificent Guns; Siete Pistolas para Timothy; Sette Magnifiche Pistole,Romolo Guerrieri (as Rod Gilbert),Sean Flynn,"Fernando Sancho, Evelyn Stewart, Daniel Martin, Frank Oliveras, Spartaco Conversi, Tito Garcia",Gino Peguri,"Sean Flynn (son of Errol Flynn) stars as a frontier mine manager who narrowly escapes a massacre orchestrated by a ruthless bandit gang led by Fernando Sancho. Seeking to reclaim the mine, he recruits a specialized team of convicts and mercenaries in a Magnificent Seven-style campaign."
Seven Guns from Texas,1964,Seven from Texas; Camino del Sur; I Sette Pistolaros del Texas,Joaquin Romero Marchent,Paul Piaget,"Robert Hundar, Fernando Sancho, Gloria Milland, Jesus Puente, Paco Sanz, Raf Baldassare",Riz Ortolani,"A dramatic survival journey across the desert. An armed escort—including a former convict (Robert Hundar), a seasoned tracker, and a doctor—accompanies a gravely ill woman (Gloria Milland) to El Paso for emergency medical treatment, fighting off repeated ambushes by outlaws and native war parties along the route."
Seven Hours of Gunfire,1964,Adventures in the West; Sette Ore di Fuoco,Joaquin Romero Marchent (as José Hernandez),Rick Van Nutter (as Clyde Rogers),"Adrian Hoven, Elga Sommerfeld, Gloria Milland, Carlos R. Marchent, Helga Line, Alfonso Rojas",Angelo Francesco Lavagnino,"A multi-character frontier actioner bringing together legendary folk heroes Buffalo Bill (Rick Van Nutter), Wild Bill Hickok (Adrian Hoven), and Calamity Jane (Gloria Milland). The trio joins forces to broker a peace treaty between indigenous chiefs and frontier pioneers before a rogue attack sparks open war."
Seven Nuns in Kansas City,1973,Sette Monache a Kansas City,Marcello Zeani,Enzo Maggio,"Paul McCray, Lea Gargano, Tony DeLeo, Pedro Sanchez, Irta D'Angelis, Bruno Boschetti",Gino Peguri,"An eccentric slapstick farce about two bumbling prospectors who stumble upon a rich gold vein after a wagon crash. When their claim is invaded by outlaws and regional bandits, the pursuit spills into a peaceful frontier convent, where the resident nuns take up kitchenware and tools to defend their grounds."
Seven Pistols for a Gringo,1967,Sette Pistole per el Gringo,Ignacio Iquino (as Juan Xiol Marchel),Dan Harrison,"Gérard Landry, Fernando Rubio, Marta May, Albert Farley, Patricia Loran",Enrique Escobar,"Framed for the murder of a professional card player by a corrupt town boss (Albert Farley), a young traveler named Dan (Dan Harrison) goes into hiding inside the covered wagon of an eccentric traveling dentist. Biding his time, Dan methodically uncovers the evidence needed to clear his name in a final street shootout."
Shadow of Sartana... Shadow of Your Death,1968,Meet the Sign of the Cross; Passa Sartana... È l'Ombra della Tua Morte,Demofilo Fidani (as Sean O'Neal),Jeff Cameron,"Dennys Colt, Simone Blondell, Frank Fargas, Dino Strano, Miles Deem (Demofilo Fidani), Elisabetta Fanti",Coriolano Gori,"Bounty hunter Sartana (Jeff Cameron) is targeted with a $10,000 price on his head by corrupt authorities. Seeking amnesty, he accepts an offer from territorial politicians to eliminate the vicious Randal brothers and an outlaw gang terrorizing the border. Notably features director Demofilo Fidani acting on-screen as a talkative mayor."
Shadow of Zorro,1963,Zorro the Avenger; L'Ombra di Zorro; La Venganza del Zorro,Joaquin Romero Marchent,Frank Latimore,"Maria Luz Galicia, Mario Feliciani, Marco Tulli, Robert Hundar, Raf Baldassare, Piero Lulli",Manuel Parada,"In 1830s Spanish California, Don José (Frank Latimore) secretly adopts the mask and cape of El Zorro to protect the impoverished citizenry of San Pueblo from an extortionist bandit crew led by the ruthless Chinto (Raf Baldassare), who operates with impunity due to corrupt local officials."
